"id","e1a","e1c","e1f","e1g","f5a","f5b","f5c","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","h1a","h1b","h1c","near_03f","cityRate","numBehaviors"
489,3,2,4,4,5,4,3,4,4,4,4,4,2,4,1,0,1,1,0,0,0,0,0,1,282.058076588,2.60625,1
490,3,4,5,3,3,3,4,5,5,5,5,5,5,5,1,1,0,1,1,0,1,0,0,0,426.206070953,2.60625,3
491,5,1,4,2,4,3,4,3,4,4,4,4,4,4,1,1,0,1,1,0,1,0,0,1,192.70049848,2.60625,3
507,2,4,4,3,4,3,4,3,2,4,3,3,3,3,1,1,1,1,0,0,0,0,0,1,964.44894111,2.60625,1
508,5,3,4,3,4,3,4,2,2,4,3,3,2,4,0,1,0,0,0,0,0,0,0,1,1211.91348612,2.60625,0
511,3,4,4,2,3.35926218482178,2.71231229612704,3.59417270922547,2,2,4,4,3,3,4,1,1,1,1,1,1,1,0,0,0,1333.01236955,2.60625,4
512,4,2,4,3,4,4,3,5,3,5,4,3,4,4,1,0,1,1,0,1,0,0,1,1,1318.61216324,2.60625,2
518,1,5,4,2,4,1,4,4,4,4,4,4,3,3,1,1,1,1,1,0,1,0,1,1,1516.27336134,2.60625,3
526,1,5,5,1,5,3,2,4,4,5,5,3,4,3,1,1,1,1,0,0,0,0,1,1,169.841602364,2.60625,1
528,2,3,5,2,3,5,5,4,4,5,4,4,4,5,1,1,1,1,1,1,1,1,1,1,323.375811897,2.60625,4
537,2,3,4,2,5,5,5,5,4,5,4,3,3,4,1,1,1,1,1,1,1,0,1,1,2254.97016846,2.60625,4
543,3,3,5,2,4,4,4,4,3,4,4,4,4,4,1,0,0,1,1,0,1,0,1,1,408.706259301,2.60625,3
545,1,5,5,1,4,3,5,5,5,5,5,5,5,5,1,1,1,1,0,0,1,0,0,0,917.81531545,2.60625,2
547,1.85779372476552,4.05995690593455,4.23158725330838,1.94043023378001,4.21530425645605,3.27713820502164,3.85688692597389,4.58791163825172,4.55905694727396,4.26118447237152,4.56135731402715,4.2539727856387,4.02767443090283,4.3618826145786,1,1,1,1,1,1,1,0.114150257934221,0.287193211459132,0.684679431328862,1184.93739853,2.60625,4
551,2,4,1,3,2,3,1,4,3,4,5,3,4,4,1,1,1,1,0,0,0,0,0,1,1331.76397283,2.60625,1
552,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,1288.97400944,2.60625,4
554,2,4,4,2,5,1,4,4,4,5,4,4,4,4,1,1,1,1,1,0,1,0,0,0,1288.97400944,2.60625,3
563,2,4,4,2,2,2,2,4,4,4,4,4,2,2,1,1,1,1,0,0,0,0,0,1,0,2.34883720930233,1
571,2,4,4,2,4,3,1,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,1,1,0,2.34883720930233,0
588,4,3,4,2,5,4,4,2,3,4,4,3,4,4,1,0,1,1,0,0,0,0,0,1,66.5595702386,2.60625,1
589,2,4,4,4,5,5,4,2,2,4,4,3,3,4,1,1,1,1,1,0,1,0,1,1,277.190395703,2.60625,3
591,2,4,4,2,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,1,0,0,1,176.837693596,2.60625,4
