"id","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","d1a","d1b","d1c","d1d","d1e","d1f","d1g","e1a","e1b","e1c","e1d","e1e","e1f","e1g","e1h","e1i","e1j","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f5a","f5b","f5c","f5d","h1a","h1b","h1c","h1d","h1e","h1f","h1g","h1h","h1i","h1j","h1k","h1l","h1m","h1n","h1o","h1p","education","near_03f","city","numBehaviors","cityRate"
148,3.47669831226952,3.02635451434652,3.52545343547528,2.89345129383285,2.22704149533654,3.05466354787717,3.95995186764176,3.20372106045456,2.34566634173152,3.39309236677561,3.67794560418992,1.25120958576828,3.47406577620214,3.78880662279671,2.09806180950532,3.4589492050933,2.12517621972039,4.3653547454288,3,4,3,4,2,2,4,2,4,5,2,2,4,1,4,4,3,4,4,5,4,4,3,4,1,0,1,0,0,0,0,4,4,4,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,2466.63609368,"Alpine",0,2.60625
151,4,4,4,2,1,2,2,2,1,4,4,2,3,3,2,4,2,4,4,4,2,4,2,2,4,4,3,2,3,4,4,2,4,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,3,3,2,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,3,261.800165727,"Alpine",4,2.60625
153,4,2,5,2,1.18146483414472,1,4,2.19574808373584,2,1,4,1,1,3,1,5,1,4,4,4,3,3,2,1.79122621402002,4,2,3,4,4,5,5,1,5,2,4,4,3,4,5,5,5,5,1,1,1,1,1,1,1,1,4,5,3,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,6,757.253454862,"Alpine",4,2.60625
167,4,4,4,4,2,3,3,3,2,4,4,3,2,2,2,3,3,4,4,4,2,2,2,2,4,2,3,4,3,4,4,2,4,3,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,2,2,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,6,1288.97400944,"Alpine",4,2.60625
172,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,4,4,2,4,2,2,4,2,4,4,2,2,4,2,4,2,1,4,4,4,4,4,4,4,1,0,1,1,1,1,1,4,4,1,4,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,5,0,"El Cajon",4,2.34883720930233
177,4.17596853988591,3.79569445953841,4.23958864371402,3.86573462574165,3.46985618647736,3.51443628917116,2.48111949403048,3.30783653270972,1.91530227256362,4.53908831288199,2.79257749758284,1.6145887715125,2.76985035575626,3.36253084975219,2.54984054613271,4.04095523525963,2.20477445127663,2.7727175766701,4,4,2.52776907221754,1,2,1.84345712168609,4,1,2,5,2.25947308475622,4,4,2.66219983546137,5,4,4,4,4,1,3,3,3,2,1,1,1,1,1,1,1,2.85514889863856,1.5754414032608,1.02830159534273,4.51583452567601,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,2.1138890467,"El Cajon",4,2.34883720930233
181,4,4,5,5,2,2,2,2,1,4,4,2,2,2,2,4,3,3,4,3,2,2,3,3,3,4,3,2,3,4,3,3,4,4,4,4,4,4,4,3,3,3,1,1,1,1,0,0,1,4,3,3,4,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,5,143.698259719,"El Cajon",2,2.34883720930233
184,4,4,3,4,3,4,2,3,2,4,4,3,3,3,3,3,3,3,2,4,4,3,3,2,2,4,3,3,3,4,4,3,4,4,3,4,4,3,3,3,4,4,0,1,1,0,0,0,0,4,3,3,3,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,2,0,"El Cajon",0,2.34883720930233
195,5,5,5,5,1,1.68108957351659,2,2,1,5,4,1,4,4,2,3,3,4,4,4,4,2,2,5,1,5,4,1,3,5,4,3.15437116995995,3.87067261212332,3.88796198123785,3.33925188291052,4,2,5,4,2,5,5,1,1,1,1,1,1,1,4,2,4,4,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,3,0,"Alpine",4,2.60625
198,5,5,5,4,1,1,1,1,1,4,4,3,2,2,1,4,2,4,2,4,4,3,4,2,2,3,4,3,2,3,4,2,4,2,2,2,4,5,4,4,4,5,1,1,1,1,1,1,1,5,3,5,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,5,140.150142445,"Alpine",4,2.60625
